"k","m","alpha_population","lambda_population","alpha_predicted","lambda_predicted"
3,10000,1.5,1.5,1.52906514656497,1.52005347681697
3,10000,1.5,2,1.52986326554092,2.01059603604954
3,10000,2,0.3,2.03931116437816,0.301335057582764
3,10000,2,0.5,2.04240745741554,0.504730490964721
3,10000,2,1,2.08814856569807,1.01039032313856
3,10000,2,1.5,1.94007951654494,1.4834473900497
3,10000,2,2,2.05511490404606,2.01556105017662
5,10000,0.3,0.3,0.299287914005981,0.299828118082951
5,10000,0.3,0.5,0.291419728056644,0.496258747350657
5,10000,0.3,1,0.30879464338941,1.01467289333668
5,10000,0.3,1.5,0.306138551162439,1.51373317162361
5,10000,0.3,2,0.296646317845443,1.99545400269271
5,10000,0.5,0.3,0.496143119134649,0.300353376989369
5,10000,0.5,0.5,0.514877169518149,0.503403798170621
5,10000,0.5,1,0.50421512980538,1.00257095143315
5,10000,0.5,1.5,0.493175709469142,1.48709940403423
5,10000,0.5,2,0.501010188367218,2.00512020098977
5,10000,1,0.3,1.00689755750354,0.301074389042333
5,10000,1,0.5,0.994762921892107,0.50054116435349
5,10000,1,1,1.0038855674793,0.997514308313839
5,10000,1,1.5,1.00382316010073,1.4927948160097
5,10000,1,2,0.981055560440291,1.9864139087731
5,10000,1.5,0.3,1.58208023519437,0.304858087919274
5,10000,1.5,0.5,1.53320444040292,0.503532578184968
5,10000,1.5,1,1.5001568683525,1.00271347909293
5,10000,1.5,1.5,1.5146729869768,1.50809041745961
5,10000,1.5,2,1.52593191899359,2.01256754025817
5,10000,2,0.3,1.99633305848984,0.299818717996823
5,10000,2,0.5,1.98009397042442,0.498908261230827
5,10000,2,1,1.9206856646575,0.990224870853126
5,10000,2,1.5,1.96568188220262,1.49216679036617
5,10000,2,2,1.974471685756,1.99050434362143
10,10000,0.3,0.3,0.307671866623568,0.304143527535489
10,10000,0.3,0.5,0.282815430311894,0.489671149497735
10,10000,0.3,1,0.294116190780187,0.999181532862712
10,10000,0.3,1.5,0.305531796358991,1.49948653486208
10,10000,0.3,2,0.296224758715834,1.98779690388474
10,10000,0.5,0.3,0.50851079368731,0.301925298408605
10,10000,0.5,0.5,0.480509906432417,0.493533211082104
10,10000,0.5,1,0.483932643897424,0.992722102141124
10,10000,0.5,1.5,0.498897328000748,1.49956362397643
10,10000,0.5,2,0.519760797893104,2.00977589639078
10,10000,1,0.3,1.03478885061668,0.302304130238917
10,10000,1,0.5,0.962292403465107,0.497084370745871
10,10000,1,1,1.01939780898392,1.00326886698604
10,10000,1,1.5,1.03251044868521,1.50716369319416
10,10000,1,2,1.03990114917979,2.01646902691573
10,10000,1.5,0.3,1.44781035766482,0.297679347350277
10,10000,1.5,0.5,1.50412934085507,0.499478446668218
10,10000,1.5,1,1.50593652476964,0.996068917011143
10,10000,1.5,1.5,1.61496029627742,1.5266249204753
10,10000,1.5,2,1.46865955917165,1.99610516149551
10,10000,2,0.3,2.05706482843161,0.303809020521294
10,10000,2,0.5,1.99406681417604,0.498809477814939
10,10000,2,1,2.02665019631386,1.00587881803513
10,10000,2,1.5,2.00128666684031,1.50158083587885
10,10000,2,2,1.91003456562758,1.97992081940174
